,MapCode,SpeciesName,CohortAge,CohortBiomass
14571,383,OXAR,30,140
14971,383,QUAL,30,134
518,384,PIST,40,147
6822,384,PIVI2,20,95
12832,385,LITU,50,385
15673,385,QUAL,10,38
7867,386,ACRU,30,194
296,386,PIEC,50,322
6996,386,PIVI2,30,168
6873,387,PIVI2,20,193
7914,388,ACRU,20,181
14534,388,OXAR,10,27
15232,388,QUAL,30,262
9800,389,FRPE,10,4
10172,389,LIST,30,178
11313,390,LIST,20,85
3802,390,PITA,60,699
7413,390,PIVI2,40,320
7454,390,PIVI2,60,531
12167,391,LIST,30,66
6444,391,PITA,40,631
6887,391,PIVI2,20,53
9149,392,ACRU,10,15
1622,392,PITA,20,256
1623,392,PITA,30,233
9068,393,ACRU,50,957
4905,393,PITA,30,498
155,394,PIEC,40,333
16125,394,QUFA,10,106
12381,395,LIST,20,84
15817,395,QUAL,30,364
14437,396,LITU,150,1274
11813,397,LIST,10,10
14037,397,LITU,10,33
13431,398,LITU,10,27
14475,398,NYSY,10,45
1634,398,PITA,30,89
4916,398,PITA,40,336
1638,399,PITA,10,27
6378,399,PITA,20,38
4920,400,PITA,20,228
4921,400,PITA,30,251
13197,401,LITU,50,303
15628,401,QUAL,40,268
13316,402,LITU,40,148
16959,402,QURU,20,205
8475,403,ACRU,30,75
9915,403,JUNI,30,112
14379,404,LITU,20,210
1648,404,PITA,40,450
14135,405,LITU,20,108
13810,405,LITU,30,60
9356,406,ACRU,20,88
14140,406,LITU,10,27
1652,406,PITA,20,144
1653,406,PITA,30,224
9300,407,ACRU,30,92
12845,407,LITU,10,14
9221,408,ACRU,30,151
7168,408,PIVI2,20,103
7288,408,PIVI2,30,168
8255,409,ACRU,10,30
14234,409,LITU,20,108
2755,409,PITA,30,126
7579,409,PIVI2,30,168
10509,410,LIST,30,126
13827,410,LITU,20,228
14576,410,OXAR,10,60
4948,411,PITA,60,913
15291,411,QUAL,60,386
11488,412,LIST,20,47
1670,412,PITA,30,827
9419,413,BENI,20,386
9850,413,FRPE,40,344
1674,414,PITA,10,16
8305,415,ACRU,10,27
8424,415,ACRU,20,88
1675,415,PITA,40,450
15626,415,QUAL,10,38
10117,416,LIST,30,21
15256,416,QUAL,40,738
13480,417,LITU,50,532
